Users,Posts,Behavior,Malicious
user5,this is a sham! security forces are actually protecting kashmiris from the dreadful terrorists who are infiltrated? ,terrorism,1
user1, future food security in pakistan requires investing in climatesmartagriculture - malik amin aslam ,investment,0
user3," iranian deputy foreign minister meets pakistan's foreign minister smqureshipti to discuss expanding iran - pakistan economic, t?",economy,0
user2, future food security in pakistan requires investing in climatesmartagriculture - launching 33 country csa profile report?,investment,0
user2, chahbahar- four people killed and 31 injured this morning in suicide attack in this iranian port on the gulf of oman. oper?,attack,1
user7," a terrorist was killed, another injured in exchange of fire with security forces in triborder area of dg khan?",terrorism,1
user8, chahbahar- four people killed and 31 injured this morning in suicide attack in this iranian port on the gulf of oman. oper?,attack,1
user7,bank islami cyber attack marks the biggest in history for pakistan - cyber security news  ,cyber security,0
user9,banks issued guidelines to tighten cyber security karachi  in the aftermath of a local bank reporting a loss of rs2? ,cyber security,0
user9,"Under the rapid expansion under CPEC, Pakistan and China are now planning to cooperate in the aerospace sector. Pakistan?",cpec,0
user5,We put Thar as a priority. With CPEC thar is most likely to get benift from this.,cpec,0
user9,"Nowadays clean generation technologies are very advanced in coal fired power industry, especially the flue gas desulfurizati?",technology,0
user1,"Pakistan and China are working together to develop GwadarPort for connectivity, trade and investment  CM Balochistan",investment,0
user7,model town massacre are serious case in which 14 innocent killed and 100 injured state terrorism and killer are still f?,terrorism,1
user8,the way pakistan has fought against terrorism none of the country can't reach to its succeses against?,terrorism,0
